iter	Passed	Remaining
312	744	1634
313	747	1633
314	749	1629
315	750	1625
316	752	1621
317	754	1618
318	756	1614
319	757	1610
320	759	1607
321	762	1606
322	764	1602
323	766	1599
324	768	1595
325	769	1591
326	771	1587
327	773	1583
328	776	1582
329	778	1579
330	779	1576
331	781	1572
332	783	1568
333	784	1564
334	786	1561
335	788	1557
336	790	1554
337	792	1552
338	794	1548
339	795	1544
340	797	1541
341	799	1537
342	800	1533
343	802	1529
344	803	1526
345	806	1525
346	808	1521
347	810	1518
348	812	1515
349	814	1512
350	815	1508
351	817	1504
352	818	1500
353	821	1498
354	823	1495
355	824	1491
356	826	1487
357	827	1484
358	829	1480
359	830	1477
360	832	1473
361	834	1470
362	836	1468
363	838	1465
364	840	1461
365	841	1458
366	843	1454
367	845	1451
368	846	1448
369	848	1444
370	851	1443
371	853	1440
372	854	1436
373	856	1433
374	857	1429
375	859	1426
376	861	1423
377	862	1419
378	864	1416
379	867	1415
380	868	1411
381	870	1408
382	872	1405
383	874	1402
384	875	1398
385	877	1395
386	878	1392
387	882	1391
388	884	1389
389	886	1385
390	888	1383
391	889	1380
392	891	1376
393	892	1373
394	897	1374
395	898	1371
396	900	1367
397	902	1364
398	903	1361
399	905	1358
400	907	1355
401	911	1355
402	913	1352
403	914	1349
404	916	1347
405	918	1343
406	920	1340
407	921	1337
408	923	1334
409	926	1333
410	928	1330
411	930	1327
412	932	1325
413	934	1322
414	935	1319
415	937	1316
416	939	1313
417	943	1313
418	945	1310
419	947	1308
420	949	1305
421	950	1302
422	952	1299
423	954	1297
424	957	1295
425	959	1292
426	961	1289
427	963	1287
428	964	1284
429	967	1282
430	970	1281
431	973	1279
432	975	1277
433	977	1274
434	978	1271
435	980	1268
436	982	1265
437	983	1262
438	986	1260
439	988	1258
440	990	1255
441	992	1253
442	994	1250
443	996	1247
444	998	1244
445	1000	1243
446	1002	1240
447	1004	1237
448	1005	1234
449	1007	1231
450	1009	1228
451	1010	1225
452	1012	1222
453	1014	1219
